inertia_weight,total_acceptance_rate,avg_acceptance_rate,weeks_included,failed_weeks_included,elim_weeks,failed_elim_weeks,total_acceptance_rate_rank_strict,avg_acceptance_rate_rank_strict,weeks_included_rank_strict,failed_weeks_included_rank_strict,elim_weeks_rank_strict,failed_elim_weeks_rank_strict,total_acceptance_rate_percentage,avg_acceptance_rate_percentage,weeks_included_percentage,failed_weeks_included_percentage,elim_weeks_percentage,failed_elim_weeks_percentage,total_acceptance_rate_rank_bottom2,avg_acceptance_rate_rank_bottom2,weeks_included_rank_bottom2,failed_weeks_included_rank_bottom2,elim_weeks_rank_bottom2,failed_elim_weeks_rank_bottom2,iterations,concentration
1.0,16114.570000000002,48.10319402985075,335,18,264,18,934.71,66.765,14,1,10,1,10714.12,43.20209677419355,248,17,198,17,4465.74,61.1745205479452,73,0,56,0,100000,50.0
0.9,15909.079999999994,47.489791044776105,335,10,264,10,920.5400000000002,65.75285714285715,14,1,10,1,10518.810000000007,42.41455645161293,248,9,198,9,4469.7300000000005,61.22917808219179,73,0,56,0,100000,50.0
0.8,15745.92000000001,47.00274626865674,335,10,264,10,901.5200000000001,64.39428571428572,14,1,10,1,10379.300000000008,41.85201612903229,248,9,198,9,4465.100000000001,61.16575342465755,73,0,56,0,100000,50.0
0.7000000000000001,15604.250000000004,46.57985074626867,335,6,264,6,881.5,62.964285714285715,14,1,10,1,10263.499999999998,41.38508064516128,248,5,198,5,4459.249999999998,61.08561643835614,73,0,56,0,100000,50.0
0.6000000000000001,15467.500000000004,46.171641791044784,335,4,264,4,863.3100000000001,61.665000000000006,14,1,10,1,10155.260000000004,40.94862903225808,248,3,198,3,4448.929999999999,60.944246575342454,73,0,56,0,100000,50.0
0.5,15322.199999999992,45.737910447761166,335,3,264,3,844.48,60.32,14,1,10,1,10044.699999999999,40.50282258064516,248,2,198,2,4433.02,60.72630136986302,73,0,56,0,100000,50.0
0.4,15171.369999999999,45.28767164179104,335,2,264,2,826.9499999999999,59.067857142857136,14,0,10,0,9934.179999999997,40.05717741935482,248,2,198,2,4410.240000000001,60.414246575342474,73,0,56,0,100000,50.0
0.30000000000000004,14988.669999999993,44.742298507462664,335,0,264,0,807.5,57.67857142857143,14,0,10,0,9808.789999999999,39.55157258064516,248,0,198,0,4372.379999999999,59.89561643835615,73,0,56,0,100000,50.0
0.2,14765.179999999993,44.075164179104455,335,0,264,0,785.1500000000001,56.08214285714286,14,0,10,0,9665.879999999997,38.97532258064515,248,0,198,0,4314.150000000001,59.09794520547946,73,0,56,0,100000,50.0
0.1,14485.150000000001,43.23925373134329,335,0,264,0,755.95,53.996428571428574,14,0,10,0,9486.289999999999,38.25116935483871,248,0,198,0,4242.91,58.122054794520544,73,0,56,0,100000,50.0
0.0,14115.859999999988,42.13689552238802,335,0,264,0,712.71,50.90785714285715,14,0,10,0,9252.82,37.309758064516124,248,0,198,0,4150.329999999998,56.85383561643833,73,0,56,0,100000,50.0
