inertia_weight,total_acceptance_rate,avg_acceptance_rate,weeks_included,failed_weeks_included,elim_weeks,failed_elim_weeks,total_acceptance_rate_rank_strict,avg_acceptance_rate_rank_strict,weeks_included_rank_strict,failed_weeks_included_rank_strict,elim_weeks_rank_strict,failed_elim_weeks_rank_strict,total_acceptance_rate_percentage,avg_acceptance_rate_percentage,weeks_included_percentage,failed_weeks_included_percentage,elim_weeks_percentage,failed_elim_weeks_percentage,total_acceptance_rate_rank_bottom2,avg_acceptance_rate_rank_bottom2,weeks_included_rank_bottom2,failed_weeks_included_rank_bottom2,elim_weeks_rank_bottom2,failed_elim_weeks_rank_bottom2,iterations,concentration
1.0,15238.530000000012,45.48814925373138,335,16,264,16,920.6199999999999,65.75857142857141,14,2,10,2,9959.330000000004,40.15858870967743,248,14,198,14,4358.580000000001,59.70657534246576,73,0,56,0,100000,50.0
0.9,14936.979999999998,44.587999999999994,335,3,264,3,910.2500000000001,65.01785714285715,14,1,10,1,9649.4,38.90887096774193,248,2,198,2,4377.33,59.96342465753425,73,0,56,0,100000,50.0
0.8,14752.24,44.03653731343284,335,2,264,2,881.42,62.958571428571425,14,1,10,1,9549.110000000002,38.50447580645162,248,1,198,1,4321.709999999999,59.20150684931506,73,0,56,0,100000,50.0
0.7000000000000001,14571.29999999999,43.49641791044773,335,1,264,1,842.6500000000001,60.189285714285724,14,0,10,0,9464.839999999991,38.1646774193548,248,1,198,1,4263.81,58.40835616438357,73,0,56,0,100000,50.0
0.6000000000000001,14452.499999999996,43.141791044776106,335,1,264,1,809.5600000000001,57.82571428571429,14,0,10,0,9418.57,37.978104838709676,248,1,198,1,4224.370000000001,57.868082191780836,73,0,56,0,100000,50.0
0.5,14367.66,42.888537313432835,335,0,264,0,785.2200000000001,56.087142857142865,14,0,10,0,9371.23,37.787217741935486,248,0,198,0,4211.209999999999,57.68780821917807,73,0,56,0,100000,50.0
0.4,14311.260000000002,42.720179104477616,335,0,264,0,767.5600000000001,54.82571428571429,14,0,10,0,9348.480000000001,37.69548387096775,248,0,198,0,4195.220000000001,57.468767123287684,73,0,56,0,100000,50.0
0.30000000000000004,14261.440000000006,42.57146268656718,335,0,264,0,750.6600000000001,53.618571428571435,14,0,10,0,9324.589999999998,37.59915322580645,248,0,198,0,4186.19,57.34506849315068,73,0,56,0,100000,50.0
0.2,14217.659999999989,42.440776119402955,335,0,264,0,733.39,52.385,14,0,10,0,9306.589999999997,37.526572580645144,248,0,198,0,4177.68,57.22849315068493,73,0,56,0,100000,50.0
0.1,14176.220000000005,42.31707462686568,335,0,264,0,722.7800000000001,51.627142857142864,14,0,10,0,9286.560000000009,37.44580645161294,248,0,198,0,4166.88,57.08054794520548,73,0,56,0,100000,50.0
0.0,14113.859999999993,42.13092537313431,335,0,264,0,712.6299999999999,50.90214285714285,14,0,10,0,9251.290000000003,37.30358870967743,248,0,198,0,4149.9400000000005,56.84849315068494,73,0,56,0,100000,50.0
