date,Bill Nye,Dancing with the Stars,normalized_score
2013-09-16,4,26,15.384615384615385
2013-09-17,33,100,33.0
2013-09-18,11,25,44.0
2013-09-19,8,14,57.14285714285714
2013-09-20,6,10,60.0
2013-09-21,4,8,50.0
2013-09-22,4,7,57.14285714285714
2013-09-23,4,11,36.36363636363637
2013-09-24,16,76,21.052631578947366
2013-09-25,8,18,44.44444444444444
2013-09-26,5,8,62.5
2013-09-27,4,6,66.66666666666666
2013-09-28,3,6,50.0
2013-09-29,3,6,50.0
2013-09-30,3,7,42.857142857142854
2013-10-01,17,43,39.53488372093023
2013-10-02,7,14,50.0
2013-10-03,4,7,57.14285714285714
2013-10-04,3,5,60.0
2013-10-05,3,5,60.0
2013-10-06,2,5,40.0
2013-10-07,2,6,33.33333333333333
2013-10-08,3,49,6.122448979591836
2013-10-09,2,9,22.22222222222222
2013-10-10,3,5,60.0
2013-10-11,3,5,60.0
2013-10-12,2,5,40.0
2013-10-13,2,5,40.0
2013-10-14,2,6,33.33333333333333
2013-10-15,3,53,5.660377358490567
2013-10-16,2,12,16.666666666666664
2013-10-17,2,6,33.33333333333333
2013-10-18,2,5,40.0
2013-10-19,1,5,20.0
2013-10-20,1,4,25.0
2013-10-21,2,6,33.33333333333333
2013-10-22,2,41,4.878048780487805
2013-10-23,2,10,20.0
2013-10-24,2,6,33.33333333333333
2013-10-25,2,5,40.0
2013-10-26,1,4,25.0
2013-10-27,2,4,50.0
2013-10-28,2,5,40.0
2013-10-29,2,47,4.25531914893617
2013-10-30,2,13,15.384615384615385
2013-10-31,2,7,28.57142857142857
2013-11-01,3,5,60.0
2013-11-02,1,5,20.0
2013-11-03,2,5,40.0
2013-11-04,2,6,33.33333333333333
2013-11-05,3,41,7.317073170731707
2013-11-06,3,11,27.27272727272727
2013-11-07,3,7,42.857142857142854
2013-11-08,6,6,100.0
2013-11-09,3,5,60.0
2013-11-10,2,5,40.0
2013-11-11,2,5,40.0
2013-11-12,3,48,6.25
2013-11-13,3,12,25.0
2013-11-14,3,6,50.0
2013-11-15,2,5,40.0
2013-11-16,1,5,20.0
2013-11-17,1,4,25.0
2013-11-18,2,5,40.0
2013-11-19,2,47,4.25531914893617
2013-11-20,2,11,18.181818181818183
2013-11-21,2,6,33.33333333333333
2013-11-22,2,5,40.0
2013-11-23,1,5,20.0
2013-11-24,1,5,20.0
2013-11-25,2,8,25.0
2013-11-26,3,54,5.555555555555555
