date,Paula Deen,Dancing with the Stars,normalized_score
2015-09-14,4,26,15.384615384615385
2015-09-15,18,100,18.0
2015-09-16,8,41,19.51219512195122
2015-09-17,3,13,23.076923076923077
2015-09-18,3,9,33.33333333333333
2015-09-19,4,9,44.44444444444444
2015-09-20,5,8,62.5
2015-09-21,3,10,30.0
2015-09-22,12,64,18.75
2015-09-23,9,69,13.043478260869565
2015-09-24,4,16,25.0
2015-09-25,3,11,27.27272727272727
2015-09-26,4,10,40.0
2015-09-27,5,8,62.5
2015-09-28,3,10,30.0
2015-09-29,7,47,14.893617021276595
2015-09-30,3,14,21.428571428571427
2015-10-01,3,7,42.857142857142854
2015-10-02,3,6,50.0
2015-10-03,5,6,83.33333333333334
2015-10-04,5,6,83.33333333333334
2015-10-05,3,8,37.5
2015-10-06,11,59,18.64406779661017
2015-10-07,4,17,23.52941176470588
2015-10-08,3,13,23.076923076923077
2015-10-09,3,8,37.5
2015-10-10,5,7,71.42857142857143
2015-10-11,4,6,66.66666666666666
2015-10-12,3,8,37.5
2015-10-13,8,44,18.181818181818183
2015-10-14,3,13,23.076923076923077
2015-10-15,3,7,42.857142857142854
2015-10-16,3,6,50.0
2015-10-17,4,6,66.66666666666666
2015-10-18,5,5,100.0
2015-10-19,3,7,42.857142857142854
2015-10-20,9,50,18.0
2015-10-21,4,14,28.57142857142857
2015-10-22,3,8,37.5
2015-10-23,3,5,60.0
2015-10-24,5,6,83.33333333333334
2015-10-25,5,5,100.0
2015-10-26,3,7,42.857142857142854
2015-10-27,4,40,10.0
2015-10-28,3,12,25.0
2015-10-29,3,6,50.0
2015-10-30,3,5,60.0
2015-10-31,4,5,80.0
2015-11-01,5,4,125.0
2015-11-02,3,6,50.0
2015-11-03,3,40,7.5
2015-11-04,3,10,30.0
2015-11-05,3,7,42.857142857142854
2015-11-06,3,6,50.0
2015-11-07,4,5,80.0
2015-11-08,5,5,100.0
2015-11-09,3,5,60.0
2015-11-10,3,51,5.88235294117647
2015-11-11,3,19,15.789473684210526
2015-11-12,3,10,30.0
2015-11-13,3,6,50.0
2015-11-14,5,5,100.0
2015-11-15,6,5,120.0
2015-11-16,5,7,71.42857142857143
2015-11-17,4,44,9.090909090909092
2015-11-18,5,11,45.45454545454545
2015-11-19,5,6,83.33333333333334
2015-11-20,5,4,125.0
2015-11-21,8,6,133.33333333333331
2015-11-22,11,5,220.00000000000003
2015-11-23,9,9,100.0
2015-11-24,12,75,16.0
