date,Tamar Braxton,Dancing with the Stars,normalized_score
2015-09-14,2,26,7.6923076923076925
2015-09-15,7,100,7.000000000000001
2015-09-16,3,41,7.317073170731707
2015-09-17,2,13,15.384615384615385
2015-09-18,2,9,22.22222222222222
2015-09-19,2,9,22.22222222222222
2015-09-20,2,8,25.0
2015-09-21,1,10,10.0
2015-09-22,6,64,9.375
2015-09-23,6,69,8.695652173913043
2015-09-24,2,16,12.5
2015-09-25,2,11,18.181818181818183
2015-09-26,2,10,20.0
2015-09-27,2,8,25.0
2015-09-28,1,10,10.0
2015-09-29,4,47,8.51063829787234
2015-09-30,2,14,14.285714285714285
2015-10-01,3,7,42.857142857142854
2015-10-02,3,6,50.0
2015-10-03,3,6,50.0
2015-10-04,3,6,50.0
2015-10-05,2,8,25.0
2015-10-06,9,59,15.254237288135593
2015-10-07,4,17,23.52941176470588
2015-10-08,3,13,23.076923076923077
2015-10-09,3,8,37.5
2015-10-10,2,7,28.57142857142857
2015-10-11,2,6,33.33333333333333
2015-10-12,2,8,25.0
2015-10-13,4,44,9.090909090909092
2015-10-14,2,13,15.384615384615385
2015-10-15,2,7,28.57142857142857
2015-10-16,2,6,33.33333333333333
2015-10-17,2,6,33.33333333333333
2015-10-18,2,5,40.0
2015-10-19,2,7,28.57142857142857
2015-10-20,5,50,10.0
2015-10-21,2,14,14.285714285714285
2015-10-22,2,8,25.0
2015-10-23,1,5,20.0
2015-10-24,2,6,33.33333333333333
2015-10-25,1,5,20.0
2015-10-26,1,7,14.285714285714285
2015-10-27,4,40,10.0
2015-10-28,1,12,8.333333333333332
2015-10-29,1,6,16.666666666666664
2015-10-30,1,5,20.0
2015-10-31,1,5,20.0
2015-11-01,2,4,50.0
2015-11-02,2,6,33.33333333333333
2015-11-03,4,40,10.0
2015-11-04,2,10,20.0
2015-11-05,2,7,28.57142857142857
2015-11-06,2,6,33.33333333333333
2015-11-07,1,5,20.0
2015-11-08,1,5,20.0
2015-11-09,1,5,20.0
2015-11-10,20,51,39.21568627450981
2015-11-11,14,19,73.68421052631578
2015-11-12,10,10,100.0
2015-11-13,5,6,83.33333333333334
2015-11-14,4,5,80.0
2015-11-15,3,5,60.0
2015-11-16,3,7,42.857142857142854
2015-11-17,7,44,15.909090909090908
2015-11-18,3,11,27.27272727272727
2015-11-19,3,6,50.0
2015-11-20,2,4,50.0
2015-11-21,2,6,33.33333333333333
2015-11-22,2,5,40.0
2015-11-23,2,9,22.22222222222222
2015-11-24,2,75,2.666666666666667
