date,Pamela Anderson,Dancing with the Stars,normalized_score
2010-03-22,2,22,9.090909090909092
2010-03-23,18,100,18.0
2010-03-24,5,31,16.129032258064516
2010-03-25,4,14,28.57142857142857
2010-03-26,3,9,33.33333333333333
2010-03-27,3,8,37.5
2010-03-28,5,11,45.45454545454545
2010-03-29,3,11,27.27272727272727
2010-03-30,8,67,11.940298507462686
2010-03-31,4,84,4.761904761904762
2010-04-01,3,21,14.285714285714285
2010-04-02,2,9,22.22222222222222
2010-04-03,2,10,20.0
2010-04-04,3,7,42.857142857142854
2010-04-05,2,10,20.0
2010-04-06,6,48,12.5
2010-04-07,3,71,4.225352112676056
2010-04-08,3,22,13.636363636363635
2010-04-09,2,11,18.181818181818183
2010-04-10,3,8,37.5
2010-04-11,3,7,42.857142857142854
2010-04-12,2,8,25.0
2010-04-13,10,45,22.22222222222222
2010-04-14,6,75,8.0
2010-04-15,4,21,19.047619047619047
2010-04-16,3,10,30.0
2010-04-17,3,7,42.857142857142854
2010-04-18,3,6,50.0
2010-04-19,2,7,28.57142857142857
2010-04-20,4,35,11.428571428571429
2010-04-21,3,65,4.615384615384616
2010-04-22,2,13,15.384615384615385
2010-04-23,2,7,28.57142857142857
2010-04-24,3,6,50.0
2010-04-25,3,5,60.0
2010-04-26,2,6,33.33333333333333
2010-04-27,5,29,17.24137931034483
2010-04-28,3,48,6.25
2010-04-29,2,14,14.285714285714285
2010-04-30,2,6,33.33333333333333
2010-05-01,2,4,50.0
2010-05-02,2,4,50.0
2010-05-03,2,5,40.0
2010-05-04,5,26,19.230769230769234
2010-05-05,7,47,14.893617021276595
2010-05-06,3,19,15.789473684210526
2010-05-07,2,10,20.0
2010-05-08,3,6,50.0
2010-05-09,3,5,60.0
2010-05-10,2,7,28.57142857142857
2010-05-11,2,33,6.0606060606060606
2010-05-12,2,45,4.444444444444445
2010-05-13,1,13,7.6923076923076925
2010-05-14,1,6,16.666666666666664
2010-05-15,2,5,40.0
2010-05-16,2,4,50.0
2010-05-17,2,6,33.33333333333333
2010-05-18,2,35,5.714285714285714
2010-05-19,2,51,3.9215686274509802
2010-05-20,2,14,14.285714285714285
2010-05-21,2,7,28.57142857142857
2010-05-22,2,6,33.33333333333333
2010-05-23,1,5,20.0
2010-05-24,1,9,11.11111111111111
2010-05-25,2,42,4.761904761904762
