date,Kelly Monaco,Dancing with the Stars,normalized_score
2005-06-01,4,9,44.44444444444444
2005-06-02,10,45,22.22222222222222
2005-06-03,4,9,44.44444444444444
2005-06-04,0,0,0.0
2005-06-05,0,7,0.0
2005-06-06,3,14,21.428571428571427
2005-06-07,3,7,42.857142857142854
2005-06-08,0,10,0.0
2005-06-09,34,52,65.38461538461539
2005-06-10,21,18,116.66666666666667
2005-06-11,8,7,114.28571428571428
2005-06-12,8,12,66.66666666666666
2005-06-13,6,6,100.0
2005-06-14,4,8,50.0
2005-06-15,5,11,45.45454545454545
2005-06-16,27,63,42.857142857142854
2005-06-17,11,13,84.61538461538461
2005-06-18,0,7,0.0
2005-06-19,0,7,0.0
2005-06-20,5,8,62.5
2005-06-21,7,8,87.5
2005-06-22,10,17,58.82352941176471
2005-06-23,38,70,54.285714285714285
2005-06-24,17,19,89.47368421052632
2005-06-25,14,11,127.27272727272727
2005-06-26,13,10,130.0
2005-06-27,10,7,142.85714285714286
2005-06-28,18,13,138.46153846153845
2005-06-29,17,22,77.27272727272727
2005-06-30,66,100,66.0
2005-07-01,32,23,139.1304347826087
2005-07-02,20,15,133.33333333333331
2005-07-03,14,9,155.55555555555557
2005-07-04,16,14,114.28571428571428
2005-07-05,15,8,187.5
2005-07-06,32,34,94.11764705882352
