date,Shannon Elizabeth,Dancing with the Stars,normalized_score
2008-03-17,2,34,5.88235294117647
2008-03-18,5,87,5.747126436781609
2008-03-19,9,90,10.0
2008-03-20,3,35,8.571428571428571
2008-03-21,2,18,11.11111111111111
2008-03-22,3,14,21.428571428571427
2008-03-23,3,13,23.076923076923077
2008-03-24,2,20,10.0
2008-03-25,9,85,10.588235294117647
2008-03-26,7,94,7.446808510638298
2008-03-27,2,27,7.4074074074074066
2008-03-28,2,14,14.285714285714285
2008-03-29,2,11,18.181818181818183
2008-03-30,1,9,11.11111111111111
2008-03-31,1,12,8.333333333333332
2008-04-01,7,61,11.475409836065573
2008-04-02,5,85,5.88235294117647
2008-04-03,2,26,7.6923076923076925
2008-04-04,3,12,25.0
2008-04-05,2,9,22.22222222222222
2008-04-06,2,9,22.22222222222222
2008-04-07,1,11,9.090909090909092
2008-04-08,10,54,18.51851851851852
2008-04-09,8,68,11.76470588235294
2008-04-10,3,19,15.789473684210526
2008-04-11,2,13,15.384615384615385
2008-04-12,2,8,25.0
2008-04-13,3,7,42.857142857142854
2008-04-14,1,9,11.11111111111111
2008-04-15,8,56,14.285714285714285
2008-04-16,7,72,9.722222222222223
2008-04-17,2,21,9.523809523809524
2008-04-18,9,14,64.28571428571429
2008-04-19,8,13,61.53846153846154
2008-04-20,6,9,66.66666666666666
2008-04-21,6,12,50.0
2008-04-22,24,57,42.10526315789473
2008-04-23,14,74,18.91891891891892
2008-04-24,7,25,28.000000000000004
2008-04-25,5,12,41.66666666666667
2008-04-26,4,11,36.36363636363637
2008-04-27,5,9,55.55555555555556
2008-04-28,4,11,36.36363636363637
2008-04-29,12,100,12.0
2008-04-30,25,97,25.773195876288657
2008-05-01,10,29,34.48275862068966
2008-05-02,6,13,46.15384615384615
2008-05-03,5,11,45.45454545454545
2008-05-04,5,10,50.0
2008-05-05,3,12,25.0
2008-05-06,3,65,4.615384615384616
2008-05-07,3,90,3.3333333333333335
2008-05-08,2,25,8.0
2008-05-09,2,12,16.666666666666664
2008-05-10,2,10,20.0
2008-05-11,2,9,22.22222222222222
2008-05-12,2,13,15.384615384615385
2008-05-13,1,61,1.639344262295082
2008-05-14,3,79,3.79746835443038
2008-05-15,2,21,9.523809523809524
2008-05-16,1,10,10.0
2008-05-17,3,9,33.33333333333333
2008-05-18,5,9,55.55555555555556
2008-05-19,2,15,13.333333333333334
2008-05-20,2,90,2.2222222222222223
