date,Selma Blair,Dancing with the Stars,normalized_score
2022-09-19,3,35,8.571428571428571
2022-09-20,20,100,20.0
2022-09-21,10,42,23.809523809523807
2022-09-22,6,25,24.0
2022-09-23,4,15,26.666666666666668
2022-09-24,4,15,26.666666666666668
2022-09-25,3,13,23.076923076923077
2022-09-26,4,23,17.391304347826086
2022-09-27,14,54,25.925925925925924
2022-09-28,7,20,35.0
2022-09-29,4,12,33.33333333333333
2022-09-30,3,9,33.33333333333333
2022-10-01,3,8,37.5
2022-10-02,3,9,33.33333333333333
2022-10-03,4,13,30.76923076923077
2022-10-04,8,38,21.052631578947366
2022-10-05,4,17,23.52941176470588
2022-10-06,3,11,27.27272727272727
2022-10-07,2,11,18.181818181818183
2022-10-08,3,12,25.0
2022-10-09,3,11,27.27272727272727
2022-10-10,2,16,12.5
2022-10-11,6,46,13.043478260869565
2022-10-12,3,17,17.647058823529413
2022-10-13,2,10,20.0
2022-10-14,2,8,25.0
2022-10-15,2,9,22.22222222222222
2022-10-16,2,9,22.22222222222222
2022-10-17,2,11,18.181818181818183
2022-10-18,38,40,95.0
2022-10-19,18,35,51.42857142857142
2022-10-20,8,16,50.0
2022-10-21,5,10,50.0
2022-10-22,4,9,44.44444444444444
2022-10-23,3,9,33.33333333333333
2022-10-24,2,10,20.0
2022-10-25,2,34,5.88235294117647
2022-10-26,2,12,16.666666666666664
2022-10-27,2,8,25.0
2022-10-28,2,6,33.33333333333333
2022-10-29,4,7,57.14285714285714
2022-10-30,3,6,50.0
2022-10-31,2,7,28.57142857142857
2022-11-01,2,25,8.0
2022-11-02,4,11,36.36363636363637
2022-11-03,3,7,42.857142857142854
2022-11-04,2,5,40.0
2022-11-05,2,8,25.0
2022-11-06,2,8,25.0
2022-11-07,1,7,14.285714285714285
2022-11-08,1,30,3.3333333333333335
2022-11-09,1,11,9.090909090909092
2022-11-10,1,8,12.5
2022-11-11,1,7,14.285714285714285
2022-11-12,2,7,28.57142857142857
2022-11-13,2,7,28.57142857142857
2022-11-14,1,7,14.285714285714285
2022-11-15,4,40,10.0
2022-11-16,2,15,13.333333333333334
2022-11-17,2,8,25.0
2022-11-18,2,7,28.57142857142857
2022-11-19,3,8,37.5
2022-11-20,3,7,42.857142857142854
2022-11-21,3,13,23.076923076923077
