date,Robert Irwin,Dancing with the Stars,normalized_score
2025-09-16,1,48,2.083333333333333
2025-09-17,18,100,18.0
2025-09-18,9,26,34.61538461538461
2025-09-19,6,13,46.15384615384615
2025-09-20,5,11,45.45454545454545
2025-09-21,3,9,33.33333333333333
2025-09-22,2,10,20.0
2025-09-23,2,23,8.695652173913043
2025-09-24,14,72,19.444444444444446
2025-09-25,6,15,40.0
2025-09-26,3,9,33.33333333333333
2025-09-27,3,9,33.33333333333333
2025-09-28,2,7,28.57142857142857
2025-09-29,2,7,28.57142857142857
2025-09-30,2,15,13.333333333333334
2025-10-01,19,61,31.147540983606557
2025-10-02,10,16,62.5
2025-10-03,7,9,77.77777777777779
2025-10-04,7,8,87.5
2025-10-05,6,7,85.71428571428571
2025-10-06,4,6,66.66666666666666
2025-10-07,5,14,35.714285714285715
2025-10-08,10,66,15.151515151515152
2025-10-09,5,14,35.714285714285715
2025-10-10,3,10,30.0
2025-10-11,3,8,37.5
2025-10-12,3,7,42.857142857142854
2025-10-13,3,7,42.857142857142854
2025-10-14,2,15,13.333333333333334
2025-10-15,18,72,25.0
2025-10-16,7,15,46.666666666666664
2025-10-17,4,9,44.44444444444444
2025-10-18,4,7,57.14285714285714
2025-10-19,3,6,50.0
2025-10-20,3,5,60.0
2025-10-21,3,13,23.076923076923077
2025-10-22,11,66,16.666666666666664
2025-10-23,4,13,30.76923076923077
2025-10-24,3,8,37.5
2025-10-25,3,7,42.857142857142854
2025-10-26,3,6,50.0
2025-10-27,2,6,33.33333333333333
2025-10-28,2,12,16.666666666666664
2025-10-29,7,69,10.144927536231885
2025-10-30,3,12,25.0
2025-10-31,2,8,25.0
2025-11-01,2,6,33.33333333333333
2025-11-02,2,6,33.33333333333333
2025-11-03,2,5,40.0
2025-11-04,2,12,16.666666666666664
2025-11-05,6,81,7.4074074074074066
2025-11-06,3,17,17.647058823529413
2025-11-07,2,9,22.22222222222222
2025-11-08,3,9,33.33333333333333
2025-11-09,2,7,28.57142857142857
2025-11-10,2,6,33.33333333333333
2025-11-11,2,12,16.666666666666664
2025-11-12,14,84,16.666666666666664
2025-11-13,6,16,37.5
2025-11-14,3,10,30.0
2025-11-15,3,9,33.33333333333333
2025-11-16,2,9,22.22222222222222
2025-11-17,2,8,25.0
2025-11-18,2,12,16.666666666666664
2025-11-19,14,95,14.736842105263156
2025-11-20,5,16,31.25
2025-11-21,3,11,27.27272727272727
2025-11-22,3,11,27.27272727272727
2025-11-23,3,10,30.0
2025-11-24,3,11,27.27272727272727
2025-11-25,7,39,17.94871794871795
