date,Charo,Dancing with the Stars,normalized_score
2017-03-20,5,20,25.0
2017-03-21,100,98,102.04081632653062
2017-03-22,14,25,56.00000000000001
2017-03-23,6,12,50.0
2017-03-24,4,8,50.0
2017-03-25,4,7,57.14285714285714
2017-03-26,3,6,50.0
2017-03-27,2,9,22.22222222222222
2017-03-28,45,76,59.210526315789465
2017-03-29,7,15,46.666666666666664
2017-03-30,4,8,50.0
2017-03-31,3,6,50.0
2017-04-01,2,5,40.0
2017-04-02,2,5,40.0
2017-04-03,2,6,33.33333333333333
2017-04-04,34,51,66.66666666666666
2017-04-05,5,11,45.45454545454545
2017-04-06,2,6,33.33333333333333
2017-04-07,2,4,50.0
2017-04-08,2,5,40.0
2017-04-09,2,5,40.0
2017-04-10,1,6,16.666666666666664
2017-04-11,2,51,3.9215686274509802
2017-04-12,1,12,8.333333333333332
2017-04-13,1,6,16.666666666666664
2017-04-14,1,5,20.0
2017-04-15,1,5,20.0
2017-04-16,1,5,20.0
2017-04-17,1,6,16.666666666666664
2017-04-18,1,47,2.127659574468085
2017-04-19,0,13,0.0
2017-04-20,1,8,12.5
2017-04-21,1,5,20.0
2017-04-22,1,5,20.0
2017-04-23,1,4,25.0
2017-04-24,0,5,0.0
2017-04-25,1,50,2.0
2017-04-26,0,11,0.0
2017-04-27,0,6,0.0
2017-04-28,0,5,0.0
2017-04-29,0,5,0.0
2017-04-30,0,4,0.0
2017-05-01,0,6,0.0
2017-05-02,0,51,0.0
2017-05-03,0,13,0.0
2017-05-04,0,7,0.0
2017-05-05,0,5,0.0
2017-05-06,0,5,0.0
2017-05-07,0,5,0.0
2017-05-08,0,6,0.0
2017-05-09,0,45,0.0
2017-05-10,0,10,0.0
2017-05-11,0,5,0.0
2017-05-12,0,4,0.0
2017-05-13,1,5,20.0
2017-05-14,0,4,0.0
2017-05-15,0,6,0.0
2017-05-16,0,55,0.0
2017-05-17,0,12,0.0
2017-05-18,0,6,0.0
2017-05-19,0,5,0.0
2017-05-20,0,5,0.0
2017-05-21,0,5,0.0
2017-05-22,0,11,0.0
2017-05-23,0,60,0.0
