date,Drew Lachey,Dancing with the Stars,normalized_score
2006-01-05,0,14,0.0
2006-01-06,2,44,4.545454545454546
2006-01-07,0,45,0.0
2006-01-08,2,17,11.76470588235294
2006-01-09,0,17,0.0
2006-01-10,0,8,0.0
2006-01-11,0,6,0.0
2006-01-12,0,10,0.0
2006-01-13,1,40,2.5
2006-01-14,0,59,0.0
2006-01-15,0,20,0.0
2006-01-16,0,14,0.0
2006-01-17,0,9,0.0
2006-01-18,0,9,0.0
2006-01-19,0,10,0.0
2006-01-20,2,36,5.555555555555555
2006-01-21,0,68,0.0
2006-01-22,0,19,0.0
2006-01-23,0,16,0.0
2006-01-24,0,11,0.0
2006-01-25,0,7,0.0
2006-01-26,0,9,0.0
2006-01-27,1,45,2.2222222222222223
2006-01-28,0,58,0.0
2006-01-29,0,20,0.0
2006-01-30,0,15,0.0
2006-01-31,0,9,0.0
2006-02-01,0,5,0.0
2006-02-02,0,8,0.0
2006-02-03,2,42,4.761904761904762
2006-02-04,1,50,2.0
2006-02-05,0,19,0.0
2006-02-06,0,19,0.0
2006-02-07,0,9,0.0
2006-02-08,0,6,0.0
2006-02-09,0,8,0.0
2006-02-10,2,40,5.0
2006-02-11,1,55,1.8181818181818181
2006-02-12,0,18,0.0
2006-02-13,0,15,0.0
2006-02-14,1,9,11.11111111111111
2006-02-15,0,11,0.0
2006-02-16,1,13,7.6923076923076925
2006-02-17,2,46,4.3478260869565215
2006-02-18,3,77,3.896103896103896
2006-02-19,1,27,3.7037037037037033
2006-02-20,1,23,4.3478260869565215
2006-02-21,1,13,7.6923076923076925
2006-02-22,0,8,0.0
2006-02-23,1,17,5.88235294117647
2006-02-24,8,100,8.0
2006-02-25,3,32,9.375
2006-02-26,3,25,12.0
