date,Kendra Wilkinson,Dancing with the Stars,normalized_score
2011-03-21,3,22,13.636363636363635
2011-03-22,9,100,9.0
2011-03-23,3,32,9.375
2011-03-24,3,15,20.0
2011-03-25,3,12,25.0
2011-03-26,3,9,33.33333333333333
2011-03-27,3,15,20.0
2011-03-28,2,12,16.666666666666664
2011-03-29,5,70,7.142857142857142
2011-03-30,4,90,4.444444444444445
2011-03-31,2,23,8.695652173913043
2011-04-01,2,11,18.181818181818183
2011-04-02,3,7,42.857142857142854
2011-04-03,2,6,33.33333333333333
2011-04-04,2,9,22.22222222222222
2011-04-05,4,78,5.128205128205128
2011-04-06,2,65,3.076923076923077
2011-04-07,2,16,12.5
2011-04-08,3,11,27.27272727272727
2011-04-09,5,8,62.5
2011-04-10,3,6,50.0
2011-04-11,2,7,28.57142857142857
2011-04-12,4,49,8.16326530612245
2011-04-13,5,60,8.333333333333332
2011-04-14,2,16,12.5
2011-04-15,2,9,22.22222222222222
2011-04-16,2,7,28.57142857142857
2011-04-17,2,6,33.33333333333333
2011-04-18,2,7,28.57142857142857
2011-04-19,4,42,9.523809523809524
2011-04-20,3,62,4.838709677419355
2011-04-21,2,18,11.11111111111111
2011-04-22,1,10,10.0
2011-04-23,2,6,33.33333333333333
2011-04-24,3,6,50.0
2011-04-25,2,8,25.0
2011-04-26,7,51,13.725490196078432
2011-04-27,6,71,8.450704225352112
2011-04-28,2,17,11.76470588235294
2011-04-29,1,8,12.5
2011-04-30,2,5,40.0
2011-05-01,2,6,33.33333333333333
2011-05-02,1,6,16.666666666666664
2011-05-03,4,33,12.121212121212121
2011-05-04,9,65,13.846153846153847
2011-05-05,5,16,31.25
2011-05-06,2,10,20.0
2011-05-07,3,6,50.0
2011-05-08,2,7,28.57142857142857
2011-05-09,2,9,22.22222222222222
2011-05-10,1,41,2.4390243902439024
2011-05-11,2,79,2.5316455696202533
2011-05-12,1,18,5.555555555555555
2011-05-13,1,12,8.333333333333332
2011-05-14,1,14,7.142857142857142
2011-05-15,1,10,10.0
2011-05-16,1,13,7.6923076923076925
2011-05-17,2,67,2.9850746268656714
2011-05-18,1,83,1.2048192771084338
2011-05-19,1,19,5.263157894736842
2011-05-20,1,12,8.333333333333332
2011-05-21,2,10,20.0
2011-05-22,2,9,22.22222222222222
2011-05-23,1,14,7.142857142857142
2011-05-24,1,83,1.2048192771084338
