date,Hines Ward,Dancing with the Stars,normalized_score
2011-03-21,1,22,4.545454545454546
2011-03-22,12,100,12.0
2011-03-23,2,32,6.25
2011-03-24,1,15,6.666666666666667
2011-03-25,0,12,0.0
2011-03-26,1,9,11.11111111111111
2011-03-27,1,15,6.666666666666667
2011-03-28,1,12,8.333333333333332
2011-03-29,8,70,11.428571428571429
2011-03-30,5,90,5.555555555555555
2011-03-31,1,23,4.3478260869565215
2011-04-01,1,11,9.090909090909092
2011-04-02,0,7,0.0
2011-04-03,0,6,0.0
2011-04-04,0,9,0.0
2011-04-05,10,78,12.82051282051282
2011-04-06,5,65,7.6923076923076925
2011-04-07,1,16,6.25
2011-04-08,1,11,9.090909090909092
2011-04-09,1,8,12.5
2011-04-10,1,6,16.666666666666664
2011-04-11,1,7,14.285714285714285
2011-04-12,6,49,12.244897959183673
2011-04-13,2,60,3.3333333333333335
2011-04-14,1,16,6.25
2011-04-15,1,9,11.11111111111111
2011-04-16,0,7,0.0
2011-04-17,0,6,0.0
2011-04-18,0,7,0.0
2011-04-19,4,42,9.523809523809524
2011-04-20,3,62,4.838709677419355
2011-04-21,1,18,5.555555555555555
2011-04-22,1,10,10.0
2011-04-23,1,6,16.666666666666664
2011-04-24,0,6,0.0
2011-04-25,1,8,12.5
2011-04-26,7,51,13.725490196078432
2011-04-27,3,71,4.225352112676056
2011-04-28,1,17,5.88235294117647
2011-04-29,1,8,12.5
2011-04-30,1,5,20.0
2011-05-01,0,6,0.0
2011-05-02,0,6,0.0
2011-05-03,4,33,12.121212121212121
2011-05-04,2,65,3.076923076923077
2011-05-05,11,16,68.75
2011-05-06,6,10,60.0
2011-05-07,2,6,33.33333333333333
2011-05-08,2,7,28.57142857142857
2011-05-09,1,9,11.11111111111111
2011-05-10,6,41,14.634146341463413
2011-05-11,3,79,3.79746835443038
2011-05-12,1,18,5.555555555555555
2011-05-13,2,12,16.666666666666664
2011-05-14,2,14,14.285714285714285
2011-05-15,2,10,20.0
2011-05-16,2,13,15.384615384615385
2011-05-17,27,67,40.298507462686565
2011-05-18,10,83,12.048192771084338
2011-05-19,3,19,15.789473684210526
2011-05-20,2,12,16.666666666666664
2011-05-21,2,10,20.0
2011-05-22,1,9,11.11111111111111
2011-05-23,2,14,14.285714285714285
2011-05-24,10,83,12.048192771084338
