date,Mike Catherwood,Dancing with the Stars,normalized_score
2011-03-21,1,25,4.0
2011-03-22,4,100,4.0
2011-03-23,1,33,3.0303030303030303
2011-03-24,0,15,0.0
2011-03-25,0,13,0.0
2011-03-26,0,10,0.0
2011-03-27,1,15,6.666666666666667
2011-03-28,0,12,0.0
2011-03-29,3,79,3.79746835443038
2011-03-30,11,95,11.578947368421053
2011-03-31,2,22,9.090909090909092
2011-04-01,1,12,8.333333333333332
2011-04-02,0,8,0.0
2011-04-03,0,6,0.0
2011-04-04,0,9,0.0
2011-04-05,0,79,0.0
2011-04-06,0,67,0.0
2011-04-07,0,16,0.0
2011-04-08,0,12,0.0
2011-04-09,0,8,0.0
2011-04-10,0,6,0.0
2011-04-11,0,8,0.0
2011-04-12,0,51,0.0
2011-04-13,0,61,0.0
2011-04-14,0,17,0.0
2011-04-15,2,10,20.0
2011-04-16,0,7,0.0
2011-04-17,0,6,0.0
2011-04-18,0,7,0.0
2011-04-19,0,44,0.0
2011-04-20,0,64,0.0
2011-04-21,0,19,0.0
2011-04-22,0,10,0.0
2011-04-23,0,7,0.0
2011-04-24,0,6,0.0
2011-04-25,0,8,0.0
2011-04-26,0,53,0.0
2011-04-27,0,75,0.0
2011-04-28,0,18,0.0
2011-04-29,0,8,0.0
2011-04-30,0,6,0.0
2011-05-01,0,6,0.0
2011-05-02,0,6,0.0
2011-05-03,0,35,0.0
2011-05-04,0,68,0.0
2011-05-05,0,17,0.0
2011-05-06,0,11,0.0
2011-05-07,0,6,0.0
2011-05-08,0,7,0.0
2011-05-09,0,9,0.0
2011-05-10,0,42,0.0
2011-05-11,0,81,0.0
2011-05-12,0,19,0.0
2011-05-13,0,13,0.0
2011-05-14,0,15,0.0
2011-05-15,0,10,0.0
2011-05-16,0,14,0.0
2011-05-17,0,69,0.0
2011-05-18,0,86,0.0
2011-05-19,0,20,0.0
2011-05-20,0,13,0.0
2011-05-21,0,10,0.0
2011-05-22,0,9,0.0
2011-05-23,0,15,0.0
2011-05-24,0,89,0.0
