date,Wendy Williams,Dancing with the Stars,normalized_score
2011-03-21,3,22,13.636363636363635
2011-03-22,17,100,17.0
2011-03-23,5,32,15.625
2011-03-24,4,15,26.666666666666668
2011-03-25,3,12,25.0
2011-03-26,3,9,33.33333333333333
2011-03-27,3,15,20.0
2011-03-28,3,12,25.0
2011-03-29,12,70,17.142857142857142
2011-03-30,10,90,11.11111111111111
2011-03-31,3,23,13.043478260869565
2011-04-01,3,11,27.27272727272727
2011-04-02,2,7,28.57142857142857
2011-04-03,2,6,33.33333333333333
2011-04-04,2,9,22.22222222222222
2011-04-05,11,78,14.102564102564102
2011-04-06,16,65,24.615384615384617
2011-04-07,5,16,31.25
2011-04-08,3,11,27.27272727272727
2011-04-09,3,8,37.5
2011-04-10,2,6,33.33333333333333
2011-04-11,2,7,28.57142857142857
2011-04-12,3,49,6.122448979591836
2011-04-13,2,60,3.3333333333333335
2011-04-14,2,16,12.5
2011-04-15,2,9,22.22222222222222
2011-04-16,2,7,28.57142857142857
2011-04-17,1,6,16.666666666666664
2011-04-18,2,7,28.57142857142857
2011-04-19,2,42,4.761904761904762
2011-04-20,2,62,3.225806451612903
2011-04-21,2,18,11.11111111111111
2011-04-22,2,10,20.0
2011-04-23,2,6,33.33333333333333
2011-04-24,1,6,16.666666666666664
2011-04-25,2,8,25.0
2011-04-26,2,51,3.9215686274509802
2011-04-27,2,71,2.8169014084507045
2011-04-28,2,17,11.76470588235294
2011-04-29,1,8,12.5
2011-04-30,2,5,40.0
2011-05-01,1,6,16.666666666666664
2011-05-02,1,6,16.666666666666664
2011-05-03,2,33,6.0606060606060606
2011-05-04,2,65,3.076923076923077
2011-05-05,2,16,12.5
2011-05-06,2,10,20.0
2011-05-07,2,6,33.33333333333333
2011-05-08,1,7,14.285714285714285
2011-05-09,1,9,11.11111111111111
2011-05-10,2,41,4.878048780487805
2011-05-11,2,79,2.5316455696202533
2011-05-12,2,18,11.11111111111111
2011-05-13,2,12,16.666666666666664
2011-05-14,2,14,14.285714285714285
2011-05-15,1,10,10.0
2011-05-16,1,13,7.6923076923076925
2011-05-17,2,67,2.9850746268656714
2011-05-18,2,83,2.4096385542168677
2011-05-19,2,19,10.526315789473683
2011-05-20,2,12,16.666666666666664
2011-05-21,2,10,20.0
2011-05-22,1,9,11.11111111111111
2011-05-23,1,14,7.142857142857142
2011-05-24,1,83,1.2048192771084338
