Season,Week,Celebrity,Rule_Mode,Judge_Total_Score_Raw,Actual_Result,Judge_Percent,Judge_Rank_Points,Est_Fan%_Mean_Bayesian,Est_Fan%_Std_Bayesian,Acceptance_Rate%_Bayesian,Est_Fan%_Mean_Uniform,Est_Fan%_Std_Uniform,Acceptance_Rate%_Uniform
1,1,Evander Holyfield,Rank (Strict Elimination),18.0,Safe,,2.5,11.8,4.52,100.0,16.68,14.1,100.0
1,1,Joey McIntyre,Rank (Strict Elimination),20.0,Safe,,5.0,12.49,4.64,100.0,16.65,14.09,100.0
1,1,John O'Hurley,Rank (Strict Elimination),20.0,Safe,,5.0,11.66,4.49,100.0,16.67,14.11,100.0
1,1,Kelly Monaco,Rank (Strict Elimination),13.0,Safe,,1.0,33.0,6.57,100.0,16.7,14.09,100.0
1,1,Rachel Hunter,Rank (Strict Elimination),20.0,Safe,,5.0,19.17,5.51,100.0,16.62,14.06,100.0
1,1,Trista Sutter,Rank (Strict Elimination),18.0,Safe,,2.5,11.88,4.54,100.0,16.68,14.08,100.0
1,2,Evander Holyfield,Rank (Strict Elimination),14.0,Safe,,1.0,17.4,3.7,11.05,28.32,12.89,9.75
1,2,Joey McIntyre,Rank (Strict Elimination),21.0,Safe,,4.0,12.59,3.46,11.05,16.39,12.59,9.75
1,2,John O'Hurley,Rank (Strict Elimination),26.0,Safe,,6.0,11.35,3.59,11.05,14.82,13.06,9.75
1,2,Kelly Monaco,Rank (Strict Elimination),17.0,Safe,,2.0,32.93,6.59,11.05,22.07,13.13,9.75
1,2,Rachel Hunter,Rank (Strict Elimination),24.0,Safe,,5.0,17.89,5.41,11.05,14.75,13.04,9.75
1,2,Trista Sutter,Rank (Strict Elimination),19.0,Eliminated,,3.0,7.84,2.36,11.05,3.64,3.07,9.75
1,3,Evander Holyfield,Rank (Strict Elimination),13.0,Eliminated,,1.0,13.13,4.0,88.76,8.89,7.04,46.61
1,3,Joey McIntyre,Rank (Strict Elimination),22.0,Safe,,3.0,15.06,5.06,88.76,20.87,16.52,46.61
1,3,John O'Hurley,Rank (Strict Elimination),24.0,Safe,,4.0,14.18,4.92,88.76,20.87,16.5,46.61
1,3,Kelly Monaco,Rank (Strict Elimination),21.0,Safe,,2.0,35.55,6.62,88.76,28.83,15.99,46.61
1,3,Rachel Hunter,Rank (Strict Elimination),26.0,Safe,,5.0,22.07,5.78,88.76,20.53,16.72,46.61
1,4,Joey McIntyre,Rank (Strict Elimination),20.0,Safe,,1.0,28.5,3.2,0.11,39.41,16.47,8.29
1,4,John O'Hurley,Rank (Strict Elimination),21.0,Safe,,2.0,28.21,3.14,0.11,39.81,16.51,8.29
1,4,Kelly Monaco,Rank (Strict Elimination),26.0,Safe,,4.0,24.16,1.74,0.11,14.57,6.63,8.29
