date,William Levy,Dancing with the Stars,normalized_score
2012-03-19,3,21,14.285714285714285
2012-03-20,45,100,45.0
2012-03-21,12,26,46.15384615384615
2012-03-22,8,13,61.53846153846154
2012-03-23,5,8,62.5
2012-03-24,4,8,50.0
2012-03-25,9,17,52.94117647058824
2012-03-26,5,12,41.66666666666667
2012-03-27,23,55,41.81818181818181
2012-03-28,16,67,23.88059701492537
2012-03-29,7,14,50.0
2012-03-30,5,9,55.55555555555556
2012-03-31,4,6,66.66666666666666
2012-04-01,3,6,50.0
2012-04-02,3,7,42.857142857142854
2012-04-03,17,51,33.33333333333333
2012-04-04,11,62,17.741935483870968
2012-04-05,6,14,42.857142857142854
2012-04-06,4,9,44.44444444444444
2012-04-07,4,8,50.0
2012-04-08,4,7,57.14285714285714
2012-04-09,3,8,37.5
2012-04-10,8,44,18.181818181818183
2012-04-11,4,55,7.2727272727272725
2012-04-12,3,14,21.428571428571427
2012-04-13,3,7,42.857142857142854
2012-04-14,3,6,50.0
2012-04-15,3,6,50.0
2012-04-16,3,7,42.857142857142854
2012-04-17,13,41,31.70731707317073
2012-04-18,6,49,12.244897959183673
2012-04-19,4,14,28.57142857142857
2012-04-20,3,8,37.5
2012-04-21,3,6,50.0
2012-04-22,2,5,40.0
2012-04-23,2,7,28.57142857142857
2012-04-24,8,37,21.62162162162162
2012-04-25,4,44,9.090909090909092
2012-04-26,3,13,23.076923076923077
2012-04-27,2,8,25.0
2012-04-28,2,5,40.0
2012-04-29,2,5,40.0
2012-04-30,2,6,33.33333333333333
2012-05-01,8,35,22.857142857142858
2012-05-02,4,47,8.51063829787234
2012-05-03,2,12,16.666666666666664
2012-05-04,2,7,28.57142857142857
2012-05-05,2,5,40.0
2012-05-06,2,5,40.0
2012-05-07,1,6,16.666666666666664
2012-05-08,7,41,17.073170731707318
2012-05-09,4,55,7.2727272727272725
2012-05-10,3,13,23.076923076923077
2012-05-11,2,7,28.57142857142857
2012-05-12,2,6,33.33333333333333
2012-05-13,2,5,40.0
2012-05-14,2,8,25.0
2012-05-15,12,55,21.818181818181817
2012-05-16,8,66,12.121212121212121
2012-05-17,4,15,26.666666666666668
2012-05-18,3,8,37.5
2012-05-19,3,6,50.0
2012-05-20,3,6,50.0
2012-05-21,3,11,27.27272727272727
2012-05-22,12,65,18.461538461538463
